State,Account length,Area code,International plan,Voice mail plan,Number vmail messages,Total day minutes,Total day calls,Total day charge,Total eve minutes,Total eve calls,Total eve charge,Total night minutes,Total night calls,Total night charge,Total intl minutes,Total intl calls,Total intl charge,Customer service calls,true_churn,pred_churn_prob,highrisk_model_top10,highrisk_rule,highrisk_and,highrisk_or,risk_reasons
AR,107,415,Yes,No,0,133.3,106,22.66,182.9,89,15.55,241.1,123,10.85,12.9,2,3.48,3,1,0.9069299614467868,True,False,False,True,Top10%_Model
DE,138,510,Yes,No,0,46.5,104,7.91,186.0,114,15.81,167.5,95,7.54,9.6,4,2.59,4,1,0.790378693909221,False,True,False,True,Rule(CS>=4 & (IntlYes or VMNo))
WY,127,510,Yes,No,0,242.2,102,41.17,226.1,80,19.22,252.0,96,11.34,13.9,5,3.75,2,1,0.9519967849501231,True,False,False,True,Top10%_Model
ME,118,408,Yes,Yes,21,156.5,122,26.61,209.2,125,17.78,158.7,81,7.14,11.1,3,3.0,4,1,0.9237803207575451,True,True,True,True,Top10%_Model; Rule(CS>=4 & (IntlYes or VMNo))
WV,113,415,No,No,0,61.2,111,10.4,92.3,88,7.85,197.4,114,8.88,13.7,3,3.7,5,1,0.33522893969542633,False,True,False,True,Rule(CS>=4 & (IntlYes or VMNo))
DC,81,510,Yes,No,0,227.4,105,38.66,211.5,120,17.98,258.2,113,11.62,11.9,3,3.21,0,0,0.8820141226844619,True,False,False,True,Top10%_Model
SD,122,415,Yes,Yes,40,216.4,80,36.79,249.7,90,21.22,185.9,99,8.37,12.7,4,3.43,1,0,0.8991879795515758,True,False,False,True,Top10%_Model
NC,115,415,Yes,No,0,180.0,119,30.6,198.8,126,16.9,217.1,70,9.77,12.4,3,3.35,1,0,0.8529069755648592,True,False,False,True,Top10%_Model
AR,99,510,Yes,No,0,242.3,102,41.19,350.9,102,29.83,163.1,93,7.34,11.3,3,3.05,0,1,0.9256067390494508,True,False,False,True,Top10%_Model
VT,121,415,Yes,Yes,44,254.1,127,43.2,180.2,108,15.32,196.2,129,8.83,8.7,4,2.35,3,0,0.9323014574247095,True,False,False,True,Top10%_Model
RI,104,408,Yes,No,0,160.4,73,27.27,293.9,103,24.98,306.6,90,13.8,12.6,5,3.4,4,0,0.9729593870705181,True,True,True,True,Top10%_Model; Rule(CS>=4 & (IntlYes or VMNo))
MT,184,415,No,No,0,236.4,73,40.19,287.3,120,24.42,192.0,94,8.64,13.8,4,3.73,1,1,0.8376497700015784,True,False,False,True,Top10%_Model
NH,149,415,No,No,0,119.2,88,20.26,168.3,110,14.31,204.7,119,9.21,12.2,6,3.29,4,1,0.5382896001318493,False,True,False,True,Rule(CS>=4 & (IntlYes or VMNo))
MD,116,408,No,No,0,159.4,79,27.1,179.5,88,15.26,167.8,71,7.55,9.7,2,2.62,6,1,0.8564466073027733,True,True,True,True,Top10%_Model; Rule(CS>=4 & (IntlYes or VMNo))
DE,54,415,Yes,No,0,214.1,77,36.4,240.5,94,20.44,188.9,75,8.5,10.1,3,2.73,1,0,0.8845359468168469,True,False,False,True,Top10%_Model
CT,64,415,Yes,No,0,225.3,134,38.3,108.2,87,9.2,139.6,132,6.28,17.3,9,4.67,1,1,0.8305880689168138,True,False,False,True,Top10%_Model
SD,128,415,No,No,0,247.3,91,42.04,182.7,60,15.53,143.2,112,6.44,14.7,2,3.97,3,0,0.811338258090557,True,False,False,True,Top10%_Model
AL,197,415,Yes,No,0,127.3,80,21.64,222.3,115,18.9,173.9,95,7.83,13.7,5,3.7,5,1,0.9499923986762308,True,True,True,True,Top10%_Model; Rule(CS>=4 & (IntlYes or VMNo))
NV,76,510,Yes,No,0,241.0,120,40.97,231.8,96,19.7,220.2,67,9.91,9.9,1,2.67,1,1,0.9515999635593219,True,False,False,True,Top10%_Model
VT,99,415,No,No,0,115.5,75,19.64,218.1,111,18.54,254.9,98,11.47,11.5,7,3.11,7,1,0.819981480794422,True,True,True,True,Top10%_Model; Rule(CS>=4 & (IntlYes or VMNo))
TX,133,408,No,No,0,221.1,133,37.59,160.2,140,13.62,161.8,84,7.28,8.4,3,2.27,4,0,0.8731227412108776,True,True,True,True,Top10%_Model; Rule(CS>=4 & (IntlYes or VMNo))
OR,140,415,No,No,0,120.3,108,20.45,240.4,84,20.43,216.4,74,9.74,7.7,3,2.08,4,1,0.5984843837574944,False,True,False,True,Rule(CS>=4 & (IntlYes or VMNo))
WV,50,408,No,No,0,131.1,129,22.29,160.5,94,13.64,206.9,88,9.31,5.6,9,1.51,5,1,0.4631686147554557,False,True,False,True,Rule(CS>=4 & (IntlYes or VMNo))
SC,102,408,No,No,0,174.5,73,29.67,213.7,114,18.16,164.7,116,7.41,10.3,5,2.78,4,0,0.8306568434506453,True,True,True,True,Top10%_Model; Rule(CS>=4 & (IntlYes or VMNo))
AZ,109,415,Yes,No,0,268.4,85,45.63,150.6,131,12.8,297.9,84,13.41,9.7,8,2.62,2,1,0.9147430176156714,True,False,False,True,Top10%_Model
NC,54,415,Yes,No,0,190.5,108,32.39,259.7,108,22.07,141.5,111,6.37,9.7,2,2.62,2,1,0.9138067305194054,True,False,False,True,Top10%_Model
NJ,42,408,Yes,No,0,180.7,127,30.72,174.6,94,14.84,165.3,114,7.44,12.0,6,3.24,2,0,0.9265897954782926,True,False,False,True,Top10%_Model
NM,111,415,No,No,0,132.6,125,22.54,221.1,67,18.79,127.9,101,5.76,12.7,2,3.43,4,1,0.5257034759108871,False,True,False,True,Rule(CS>=4 & (IntlYes or VMNo))
MN,115,510,Yes,No,0,122.0,110,20.74,220.2,100,18.72,179.7,124,8.09,10.8,2,2.92,2,1,0.8524270227994575,True,False,False,True,Top10%_Model
OR,149,415,No,No,0,242.5,83,41.23,245.4,97,20.86,219.6,80,9.88,10.0,3,2.7,3,1,0.8147398635730158,True,False,False,True,Top10%_Model
NJ,147,415,No,Yes,36,254.2,78,43.21,228.1,105,19.39,98.0,125,4.41,13.8,7,3.73,5,0,0.9107803144159773,True,False,False,True,Top10%_Model
CO,156,408,Yes,No,0,277.0,119,47.09,238.3,106,20.26,94.4,96,4.25,8.3,3,2.24,1,0,0.938247068222741,True,False,False,True,Top10%_Model
OH,93,415,No,Yes,42,152.3,90,25.89,267.5,102,22.74,266.9,130,12.01,11.3,5,3.05,7,0,0.9371832854810225,True,False,False,True,Top10%_Model
NC,80,415,Yes,No,0,189.1,122,32.15,223.2,92,18.97,269.0,116,12.11,13.9,3,3.75,2,1,0.9445902136011116,True,False,False,True,Top10%_Model
FL,148,510,Yes,No,0,148.2,138,25.19,159.6,123,13.57,197.4,62,8.88,8.6,3,2.32,2,0,0.812187605154368,True,False,False,True,Top10%_Model
PA,119,408,No,No,0,287.1,115,48.81,159.3,99,13.54,216.8,86,9.76,13.9,1,3.75,2,1,0.8344503991959775,True,False,False,True,Top10%_Model
MO,85,510,No,No,0,165.8,96,28.19,190.0,141,16.15,144.0,116,6.48,10.9,3,2.94,5,1,0.6618571441496927,False,True,False,True,Rule(CS>=4 & (IntlYes or VMNo))
OH,133,408,Yes,No,0,254.7,103,43.3,252.2,80,21.44,178.1,103,8.01,8.0,3,2.16,0,1,0.8974494704411007,True,False,False,True,Top10%_Model
MI,146,408,No,No,0,149.3,83,25.38,187.1,130,15.9,149.8,100,6.74,7.9,4,2.13,7,1,0.9053161822030362,True,True,True,True,Top10%_Model; Rule(CS>=4 & (IntlYes or VMNo))
MS,101,408,No,No,0,239.0,156,40.63,273.0,106,23.21,278.2,93,12.52,13.5,8,3.65,1,1,0.8214794784448642,True,False,False,True,Top10%_Model
NY,15,510,Yes,No,0,141.4,80,24.04,123.9,76,10.53,323.5,88,14.56,8.1,3,2.19,2,0,0.8272043828019479,True,False,False,True,Top10%_Model
NC,55,408,Yes,No,0,221.0,115,37.57,165.4,97,14.06,235.4,117,10.59,9.7,4,2.62,1,0,0.8479336577320763,True,False,False,True,Top10%_Model
CT,56,415,No,No,0,162.3,99,27.59,149.1,78,12.67,255.5,115,11.5,14.8,1,4.0,4,1,0.7465513935964037,False,True,False,True,Rule(CS>=4 & (IntlYes or VMNo))
NJ,93,510,Yes,Yes,38,225.7,117,38.37,119.6,122,10.17,193.2,125,8.69,14.0,7,3.78,1,1,0.845654181233479,True,False,False,True,Top10%_Model
CO,118,408,No,No,0,188.8,60,32.1,217.4,64,18.48,220.1,100,9.9,8.2,7,2.21,4,0,0.6743131714140509,False,True,False,True,Rule(CS>=4 & (IntlYes or VMNo))
NH,103,408,No,No,0,150.6,125,25.6,169.1,126,14.37,221.2,104,9.95,10.4,8,2.81,8,1,0.9493087119207745,True,True,True,True,Top10%_Model; Rule(CS>=4 & (IntlYes or VMNo))
GA,71,415,No,No,0,258.4,132,43.93,126.8,119,10.78,182.4,87,8.21,9.7,8,2.62,4,0,0.7495635936201744,False,True,False,True,Rule(CS>=4 & (IntlYes or VMNo))
MD,108,415,Yes,Yes,42,130.1,90,22.12,167.0,128,14.2,244.7,80,11.01,13.6,5,3.67,3,1,0.8774822298615371,True,False,False,True,Top10%_Model
TX,52,415,No,No,0,155.0,110,26.35,133.4,104,11.34,176.1,84,7.92,7.0,4,1.89,4,1,0.6350721173739774,False,True,False,True,Rule(CS>=4 & (IntlYes or VMNo))
VA,103,510,No,No,0,167.8,121,28.53,212.9,123,18.1,208.2,73,9.37,13.0,3,3.51,5,0,0.6625812188162606,False,True,False,True,Rule(CS>=4 & (IntlYes or VMNo))
CO,85,510,No,Yes,21,283.2,110,48.14,239.7,108,20.37,149.5,80,6.73,6.3,1,1.7,5,0,0.8343468151328073,True,False,False,True,Top10%_Model
SC,49,415,Yes,No,0,237.8,92,40.43,208.9,119,17.76,167.8,86,7.55,15.6,6,4.21,2,1,0.9803657530367845,True,False,False,True,Top10%_Model
RI,106,510,Yes,No,0,204.0,84,34.68,168.5,61,14.32,164.0,102,7.38,13.3,3,3.59,3,1,0.8956463317906168,True,False,False,True,Top10%_Model
KY,43,408,No,No,0,177.2,93,30.12,142.6,60,12.12,314.1,144,14.13,12.7,2,3.43,4,0,0.7063020383397378,False,True,False,True,Rule(CS>=4 & (IntlYes or VMNo))
CA,77,510,No,No,0,175.5,86,29.84,205.1,78,17.43,245.2,100,11.03,17.8,3,4.81,4,0,0.923095424625898,True,True,True,True,Top10%_Model; Rule(CS>=4 & (IntlYes or VMNo))
IA,130,510,No,No,0,139.1,72,23.65,246.0,112,20.91,207.2,121,9.32,11.4,9,3.08,5,0,0.5973356707557943,False,True,False,True,Rule(CS>=4 & (IntlYes or VMNo))
NJ,162,408,No,No,0,217.6,87,36.99,279.0,71,23.72,250.7,65,11.28,10.4,4,2.81,2,1,0.8360379934710523,True,False,False,True,Top10%_Model
ND,56,415,No,No,0,222.7,133,37.86,277.0,89,23.55,101.8,94,4.58,13.6,4,3.67,4,0,0.8330746163138483,True,True,True,True,Top10%_Model; Rule(CS>=4 & (IntlYes or VMNo))
DC,93,408,No,No,0,164.5,95,27.97,230.9,87,19.63,149.9,91,6.75,9.9,3,2.67,4,0,0.6871494352683594,False,True,False,True,Rule(CS>=4 & (IntlYes or VMNo))
NH,95,408,Yes,No,0,228.9,134,38.91,255.7,71,21.73,208.0,120,9.36,10.1,2,2.73,4,1,0.9915709438503609,True,True,True,True,Top10%_Model; Rule(CS>=4 & (IntlYes or VMNo))
NE,105,408,No,No,0,162.3,99,27.59,212.5,95,18.06,214.7,114,9.66,11.1,8,3.0,4,0,0.5621660447473442,False,True,False,True,Rule(CS>=4 & (IntlYes or VMNo))
MA,71,510,No,No,0,290.4,108,49.37,253.9,92,21.58,263.3,126,11.85,10.1,5,2.73,3,1,0.9250769153148769,True,False,False,True,Top10%_Model
NH,74,408,No,No,0,298.1,112,50.68,201.3,100,17.11,214.7,88,9.66,9.7,4,2.62,2,1,0.8086087037157644,True,False,False,True,Top10%_Model
LA,150,415,No,No,0,136.6,112,23.22,209.4,81,17.8,161.1,78,7.25,12.2,2,3.29,4,1,0.6178676664362632,False,True,False,True,Rule(CS>=4 & (IntlYes or VMNo))
NJ,60,408,No,No,0,289.8,101,49.27,255.6,115,21.73,242.8,76,10.93,11.7,4,3.16,2,1,0.9193856621226211,True,False,False,True,Top10%_Model
CA,138,510,Yes,No,0,196.2,129,33.35,176.5,86,15.0,232.4,108,10.46,15.2,1,4.1,0,1,0.9371430881551674,True,False,False,True,Top10%_Model
WY,111,415,No,No,0,222.2,96,37.77,162.5,111,13.81,184.9,120,8.32,11.9,7,3.21,4,0,0.6471363127489035,False,True,False,True,Rule(CS>=4 & (IntlYes or VMNo))
TX,37,510,Yes,No,0,172.9,119,29.39,183.0,86,15.56,226.4,100,10.19,9.8,1,2.65,0,1,0.8348553999448719,True,False,False,True,Top10%_Model
VA,92,510,Yes,No,0,252.3,120,42.89,207.0,112,17.6,284.6,95,12.81,12.0,5,3.24,3,1,0.9524471319749359,True,False,False,True,Top10%_Model
VT,48,415,No,No,0,197.7,64,33.61,136.7,126,11.62,244.4,81,11.0,13.2,5,3.56,4,0,0.5703530951434191,False,True,False,True,Rule(CS>=4 & (IntlYes or VMNo))
SC,212,415,No,No,0,226.0,127,38.42,304.6,83,25.89,181.2,132,8.15,12.6,4,3.4,2,1,0.9010005513376169,True,False,False,True,Top10%_Model
WY,126,408,Yes,No,0,197.6,126,33.59,246.5,112,20.95,285.3,104,12.84,12.5,8,3.38,2,0,0.9327053380631634,True,False,False,True,Top10%_Model
NV,94,408,Yes,No,0,89.5,94,15.22,339.9,106,28.89,172.9,76,7.78,7.9,1,2.13,1,1,0.8209476674801572,True,False,False,True,Top10%_Model
NC,115,510,Yes,No,0,251.3,69,42.72,252.5,96,21.46,118.3,112,5.32,9.9,1,2.67,3,1,0.9712322140886043,True,False,False,True,Top10%_Model
WA,167,415,No,No,0,169.2,124,28.76,173.3,108,14.73,216.5,64,9.74,12.4,4,3.35,4,1,0.8076987010384388,True,True,True,True,Top10%_Model; Rule(CS>=4 & (IntlYes or VMNo))
TX,123,408,No,No,0,257.9,92,43.84,211.6,71,17.99,189.3,104,8.52,9.4,2,2.54,2,0,0.815607404315955,True,False,False,True,Top10%_Model
PA,97,510,Yes,No,0,145.0,103,24.65,294.3,93,25.02,239.8,120,10.79,11.0,2,2.97,4,1,0.9838418341268523,True,True,True,True,Top10%_Model; Rule(CS>=4 & (IntlYes or VMNo))
OR,103,510,Yes,No,0,171.7,78,29.19,144.5,86,12.28,157.9,106,7.11,6.8,3,1.84,3,0,0.8452057709781092,True,False,False,True,Top10%_Model
MI,116,408,No,No,0,133.3,94,22.66,247.8,126,21.06,219.0,78,9.86,11.3,5,3.05,5,1,0.8464055607789739,True,True,True,True,Top10%_Model; Rule(CS>=4 & (IntlYes or VMNo))
ID,134,415,No,No,0,204.7,108,34.8,143.1,105,12.16,165.8,84,7.46,11.0,4,2.97,6,0,0.8874767633089207,True,True,True,True,Top10%_Model; Rule(CS>=4 & (IntlYes or VMNo))
SC,41,408,No,No,0,237.8,92,40.43,223.5,155,19.0,217.4,90,9.78,10.2,6,2.75,2,0,0.8123529525264161,True,False,False,True,Top10%_Model
NC,109,510,Yes,No,0,209.1,141,35.55,205.0,93,17.43,119.4,111,5.37,7.8,3,2.11,2,0,0.8843910070708452,True,False,False,True,Top10%_Model
NV,88,415,No,No,0,166.7,61,28.34,179.3,88,15.24,242.7,131,10.92,6.8,7,1.84,4,1,0.5940339013651141,False,True,False,True,Rule(CS>=4 & (IntlYes or VMNo))
TN,80,415,Yes,No,0,276.5,122,47.01,195.6,79,16.63,210.3,78,9.46,7.2,3,1.94,1,1,0.8822005308160555,True,False,False,True,Top10%_Model
IN,88,415,Yes,Yes,25,288.5,114,49.05,203.4,74,17.29,228.4,117,10.28,13.0,5,3.51,1,0,0.8490946472722777,True,False,False,True,Top10%_Model
AR,98,415,No,No,0,227.1,116,38.61,120.5,103,10.24,117.0,102,5.27,4.7,4,1.27,5,1,0.6731616344016431,False,True,False,True,Rule(CS>=4 & (IntlYes or VMNo))
NV,113,510,No,No,0,245.3,108,41.7,259.9,140,22.09,204.3,115,9.19,10.7,2,2.89,3,1,0.8795284459761673,True,False,False,True,Top10%_Model
NJ,59,510,Yes,Yes,31,225.0,78,38.25,191.3,79,16.26,226.7,79,10.2,9.1,3,2.46,1,0,0.8538619454224069,True,False,False,True,Top10%_Model
GA,109,510,No,Yes,35,230.5,116,39.19,265.8,130,22.59,269.7,69,12.14,10.6,6,2.86,5,0,0.8919418675555186,True,False,False,True,Top10%_Model
LA,124,510,No,No,0,143.3,120,24.36,230.7,111,19.61,214.3,91,9.64,7.8,2,2.11,4,1,0.6497148985834873,False,True,False,True,Rule(CS>=4 & (IntlYes or VMNo))
NY,82,415,No,No,0,167.1,77,28.41,131.8,79,11.2,187.4,98,8.43,9.4,1,2.54,6,1,0.8514422475039728,True,True,True,True,Top10%_Model; Rule(CS>=4 & (IntlYes or VMNo))
MN,124,510,Yes,No,0,157.8,71,26.83,203.2,114,17.27,168.7,82,7.59,10.0,2,2.7,3,1,0.9251636996869123,True,False,False,True,Top10%_Model
MD,139,415,No,No,0,181.6,119,30.87,335.7,118,28.53,149.8,64,6.74,8.3,6,2.24,4,0,0.8564511794689169,True,True,True,True,Top10%_Model; Rule(CS>=4 & (IntlYes or VMNo))
FL,105,415,No,No,0,273.8,97,46.55,289.7,106,24.62,269.1,126,12.11,5.8,3,1.57,2,1,0.8077264539975006,True,False,False,True,Top10%_Model
NY,112,415,No,No,0,174.3,123,29.63,140.2,124,11.92,215.4,89,9.69,9.0,6,2.43,4,1,0.6787671196910597,False,True,False,True,Rule(CS>=4 & (IntlYes or VMNo))
NC,85,510,No,No,0,183.4,111,31.18,168.8,98,14.35,199.7,97,8.99,9.9,4,2.67,4,0,0.6182005523848592,False,True,False,True,Rule(CS>=4 & (IntlYes or VMNo))
NJ,53,408,No,No,0,228.6,117,38.86,132.8,123,11.29,227.2,124,10.22,10.1,2,2.73,9,1,0.9934977446439902,True,True,True,True,Top10%_Model; Rule(CS>=4 & (IntlYes or VMNo))
CT,40,510,Yes,No,0,220.8,100,37.54,265.7,106,22.58,212.8,94,9.58,6.4,3,1.73,0,0,0.8606099759864239,True,False,False,True,Top10%_Model
CT,120,408,Yes,No,0,202.0,123,34.34,184.3,78,15.67,176.0,89,7.92,7.4,2,2.0,2,1,0.916834892241289,True,False,False,True,Top10%_Model
SC,161,510,No,No,0,297.9,141,50.64,238.1,107,20.24,240.5,93,10.82,8.9,5,2.4,1,1,0.8760388677206098,True,False,False,True,Top10%_Model
CO,128,510,No,No,0,199.3,86,33.88,194.8,102,16.56,298.2,82,13.42,14.3,2,3.86,4,0,0.8597193166521635,True,True,True,True,Top10%_Model; Rule(CS>=4 & (IntlYes or VMNo))
TX,139,510,Yes,Yes,31,203.5,82,34.6,200.3,72,17.03,214.0,112,9.63,13.4,6,3.62,1,1,0.850819635327906,True,False,False,True,Top10%_Model
DC,114,415,No,No,0,147.1,119,25.01,161.0,111,13.69,275.9,106,12.42,9.0,3,2.43,5,1,0.7762028581088253,False,True,False,True,Rule(CS>=4 & (IntlYes or VMNo))
MN,100,415,Yes,No,0,159.9,94,27.18,179.9,95,15.29,154.4,102,6.95,11.6,2,3.13,2,1,0.8688865370368302,True,False,False,True,Top10%_Model
MN,40,510,No,No,0,81.7,123,13.89,210.2,108,17.87,212.0,64,9.54,11.3,3,3.05,6,1,0.7772011315769808,False,True,False,True,Rule(CS>=4 & (IntlYes or VMNo))
PA,75,510,No,No,0,109.0,88,18.53,259.3,120,22.04,182.1,119,8.19,13.3,3,3.59,4,1,0.6883857842660055,False,True,False,True,Rule(CS>=4 & (IntlYes or VMNo))
HI,105,415,No,No,0,211.1,99,35.89,176.7,66,15.02,221.5,96,9.97,14.7,7,3.97,4,0,0.5683820045369605,False,True,False,True,Rule(CS>=4 & (IntlYes or VMNo))
ID,116,510,Yes,Yes,29,162.3,91,27.59,279.3,79,23.74,192.7,131,8.67,11.7,2,3.16,3,1,0.9057582706015134,True,False,False,True,Top10%_Model
DE,105,415,Yes,No,0,150.0,106,25.5,293.8,123,24.97,250.7,65,11.28,10.3,7,2.78,3,0,0.9545828570811468,True,False,False,True,Top10%_Model
KY,21,415,No,No,0,92.6,95,15.74,161.9,70,13.76,285.0,78,12.83,11.3,3,3.05,5,1,0.5772255412054963,False,True,False,True,Rule(CS>=4 & (IntlYes or VMNo))
CA,120,415,No,No,0,252.1,110,42.86,226.1,103,19.22,155.6,83,7.0,13.8,3,3.73,1,0,0.8078107210591878,True,False,False,True,Top10%_Model
MD,111,510,No,No,0,123.1,88,20.93,213.9,84,18.18,184.9,88,8.32,12.0,2,3.24,5,1,0.754211277304534,False,True,False,True,Rule(CS>=4 & (IntlYes or VMNo))
VT,67,408,No,No,0,260.4,107,44.27,208.2,104,17.7,207.9,115,9.36,10.0,2,2.7,6,0,0.9406071943572297,True,True,True,True,Top10%_Model; Rule(CS>=4 & (IntlYes or VMNo))
MS,102,510,Yes,No,0,224.2,81,38.11,243.3,90,20.68,147.8,66,6.65,12.0,8,3.24,3,0,0.9788602329468229,True,False,False,True,Top10%_Model
NY,123,415,No,No,0,123.2,104,20.94,190.0,117,16.15,170.3,95,7.66,12.9,5,3.48,4,1,0.6278910303726124,False,True,False,True,Rule(CS>=4 & (IntlYes or VMNo))
OH,115,510,Yes,No,0,345.3,81,58.7,203.4,106,17.29,217.5,107,9.79,11.8,8,3.19,1,1,0.9720970577932789,True,False,False,True,Top10%_Model
OK,86,510,Yes,No,0,162.4,131,27.61,167.0,102,14.2,128.9,118,5.8,11.4,2,3.08,2,1,0.863500943688893,True,False,False,True,Top10%_Model
NH,125,415,Yes,No,0,298.4,78,50.73,270.5,142,22.99,107.3,84,4.83,12.2,2,3.29,0,1,0.9547381746092964,True,False,False,True,Top10%_Model
ND,147,408,Yes,Yes,35,157.5,109,26.78,189.6,67,16.12,227.0,76,10.22,11.1,2,3.0,3,1,0.8506668858575015,True,False,False,True,Top10%_Model
KS,91,408,Yes,No,0,246.4,110,41.89,182.0,98,15.47,157.6,106,7.09,12.1,2,3.27,2,1,0.9573885296344126,True,False,False,True,Top10%_Model
NC,101,415,No,No,0,232.7,114,39.56,186.4,123,15.84,153.3,122,6.9,11.5,6,3.11,5,0,0.8545144939497799,True,True,True,True,Top10%_Model; Rule(CS>=4 & (IntlYes or VMNo))
SC,116,408,No,No,0,288.0,120,48.96,255.8,90,21.74,233.4,99,10.5,13.4,4,3.62,0,1,0.8292137198037179,True,False,False,True,Top10%_Model
NJ,88,415,No,No,0,301.5,136,51.26,257.7,72,21.9,132.9,118,5.98,13.4,2,3.62,4,1,0.9753609438068875,True,True,True,True,Top10%_Model; Rule(CS>=4 & (IntlYes or VMNo))
FL,85,408,Yes,No,0,116.2,86,19.75,229.7,127,19.52,204.2,109,9.19,10.1,3,2.73,3,0,0.8886517701445136,True,False,False,True,Top10%_Model
RI,103,510,Yes,No,0,255.9,128,43.5,140.9,92,11.98,308.9,130,13.9,12.1,2,3.27,1,1,0.8941576739016541,True,False,False,True,Top10%_Model
MS,65,415,Yes,No,0,277.9,123,47.24,155.8,112,13.24,256.9,71,11.56,9.2,10,2.48,0,1,0.916505586485428,True,False,False,True,Top10%_Model
IA,44,415,No,No,0,308.6,139,52.46,150.8,94,12.82,198.7,66,8.94,7.3,3,1.97,4,1,0.8207010856629052,True,True,True,True,Top10%_Model; Rule(CS>=4 & (IntlYes or VMNo))
MN,125,415,Yes,Yes,29,260.8,81,44.34,163.7,112,13.91,271.7,117,12.23,17.0,6,4.59,1,1,0.8911623276992455,True,False,False,True,Top10%_Model
IL,138,408,Yes,No,0,268.4,81,45.63,174.4,115,14.82,193.5,96,8.71,11.6,4,3.13,1,0,0.8395912732275964,True,False,False,True,Top10%_Model
MI,74,415,No,No,0,314.1,86,53.4,222.4,99,18.9,259.0,121,11.66,12.3,5,3.32,3,1,0.9353864009900054,True,False,False,True,Top10%_Model
WI,66,415,Yes,No,0,208.7,84,35.48,173.3,88,14.73,264.7,107,11.91,8.3,3,2.24,3,0,0.9302971999840017,True,False,False,True,Top10%_Model
HI,101,415,No,No,0,253.2,89,43.04,237.9,114,20.22,154.3,85,6.94,9.7,7,2.62,4,0,0.6706291386360073,False,True,False,True,Rule(CS>=4 & (IntlYes or VMNo))
PA,92,415,Yes,No,0,255.8,125,43.49,142.7,111,12.13,181.2,101,8.15,11.7,3,3.16,0,0,0.8750587856414804,True,False,False,True,Top10%_Model
NC,130,408,Yes,No,0,216.2,106,36.75,363.7,86,30.91,126.7,123,5.7,16.9,2,4.56,5,1,0.9966692756240076,True,True,True,True,Top10%_Model; Rule(CS>=4 & (IntlYes or VMNo))
WI,161,408,No,No,0,154.7,84,26.3,177.8,125,15.11,172.9,90,7.78,5.9,2,1.59,4,1,0.46095501965852476,False,True,False,True,Rule(CS>=4 & (IntlYes or VMNo))
ME,62,415,Yes,Yes,32,218.4,93,37.13,236.7,132,20.12,192.2,137,8.65,13.2,3,3.56,0,1,0.820701047152516,True,False,False,True,Top10%_Model
MN,38,510,No,No,0,175.7,109,29.87,211.8,97,18.0,137.9,109,6.21,9.2,3,2.48,5,1,0.7910049243650837,False,True,False,True,Rule(CS>=4 & (IntlYes or VMNo))
MT,137,408,Yes,No,0,258.0,112,43.86,246.5,117,20.95,173.2,100,7.79,10.9,3,2.94,0,1,0.9658554994413692,True,False,False,True,Top10%_Model
SD,52,510,Yes,No,0,251.4,118,42.74,196.6,80,16.71,192.0,53,8.64,11.0,2,2.97,0,1,0.899232086430081,True,False,False,True,Top10%_Model
HI,3,408,No,No,0,139.0,99,23.63,250.7,108,21.31,286.2,87,12.88,6.1,3,1.65,4,0,0.44517449778830703,False,True,False,True,Rule(CS>=4 & (IntlYes or VMNo))
AL,89,510,No,No,0,129.2,71,21.96,214.1,68,18.2,214.9,100,9.67,10.3,4,2.78,5,1,0.5375237722028019,False,True,False,True,Rule(CS>=4 & (IntlYes or VMNo))
MS,123,415,Yes,No,0,125.5,106,21.34,128.9,96,10.96,251.9,129,11.34,6.3,6,1.7,4,1,0.9361449177478983,True,True,True,True,Top10%_Model; Rule(CS>=4 & (IntlYes or VMNo))
CA,75,415,No,Yes,19,210.3,90,35.75,241.8,87,20.55,215.7,102,9.71,13.1,3,3.54,4,0,0.8296940092807082,True,False,False,True,Top10%_Model
MA,17,415,Yes,No,0,162.8,118,27.68,229.6,91,19.52,332.7,94,14.97,13.6,3,3.67,0,1,0.881687292478412,True,False,False,True,Top10%_Model
MI,178,408,Yes,No,0,124.5,134,21.17,141.2,78,12.0,268.2,113,12.07,11.4,2,3.08,2,1,0.8759605215453988,True,False,False,True,Top10%_Model
OH,136,408,Yes,No,0,183.4,103,31.18,141.9,113,12.06,200.4,122,9.02,10.4,9,2.81,2,0,0.835570680760946,True,False,False,True,Top10%_Model
NV,148,415,No,No,0,279.3,104,47.48,201.6,87,17.14,280.8,99,12.64,7.9,2,2.13,2,1,0.8197056195916163,True,False,False,True,Top10%_Model
NM,127,415,Yes,No,0,256.5,87,43.61,222.1,101,18.88,156.7,122,7.05,13.0,3,3.51,1,0,0.9096041585344967,True,False,False,True,Top10%_Model
WY,58,510,No,No,0,210.1,126,35.72,248.9,108,21.16,158.6,88,7.14,14.4,2,3.89,4,0,0.8060001372914747,True,True,True,True,Top10%_Model; Rule(CS>=4 & (IntlYes or VMNo))
MA,58,408,No,No,0,174.4,112,29.65,265.8,122,22.59,182.4,87,8.21,0.0,0,0.0,4,0,0.7697605060732259,False,True,False,True,Rule(CS>=4 & (IntlYes or VMNo))
SC,112,415,No,Yes,31,225.2,89,38.28,256.8,117,21.83,249.7,87,11.24,11.5,1,3.11,4,0,0.9192382806452547,True,False,False,True,Top10%_Model
